"","OTU","destination","shared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"51","20b485f14ad07fab0d10acad007b8b32","late water","shared","Bacteria","Firmicutes","Bacilli","DSM-16016","Caldibacillaceae","Bacillus","Bacillus_Jthermoamylovorans"
"52","21bb29e5efa273470d9600c0c0ad287b","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Starkeya","Starkeyanovella"
"53","2228925453f05f31ac661681aa9941d6","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas_A_507112nepalensis"
"54","25378e41f19be3a40f90da3cc055bc9f","eggs","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Pseudoalteromonas","Genus_Pseudoalteromonas"
"55","262dc7bf78e937b0c7065aef82e18d08","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"56","265de43fbbc0ebb4c8378e5404a8728c","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_E_650326otitidis"
"57","26f1fe1d525ec8756078e905957888b6","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonasnasdae_A_487984"
"58","274b25ca87d226e1ec1b3648758ff5a8","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Aquabacter","Aquabactercavernae"
"59","2861b60feb98b96bfdfae4152ea84ae7","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Brevibacteriaceae","Brevibacterium","Genus_Brevibacterium"
"60","289f4168326738aac4d74bb1ae3666d7","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Genus_Psychrobacter"
"61","290d00e82b7625c8ab79f9ad9ce480b8","eggs","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","Asticcacaulisbenevestitus"
"62","295f5d6adc2a016eabd5adf22038be4b","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Genus_Mycobacterium"
"63","2acba250c4746ff617d6615723a04ab7","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_592522"
"64","2ad6256a8aa79756698ddd1b89ed7ad1","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Genus_Bosea"
"65","2b287b7cad895a08304ba7f54625a9aa","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Family_Pseudomonadaceae","Family_Pseudomonadaceae"
"66","2bcc7082f4a29b154bcaa87cf00b4fe3","eggs","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Genus_Bosea"
"67","2c2b5fdb7648bebd4a42fe64b1a1287c","lost","lost","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_Ececorum"
"68","2d0d11f29cae22f945211c2fb8bd424c","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus","Roseococcusflocculans"
"69","2e4055a3568601599bde5e951c455dd9","late water","shared","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli"
