,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
80,38356624d04e633aa689a6ffc05a137f,both,shared,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobactersolisilvae,Pedobacter
81,38a438c0ac980ee192378b94dd688973,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,Family_Burkholderiaceae_A_592522,Family_Burkholderiaceae
82,38c2a261f81a7ed09f39ac6f9fd0cf2e,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovoraxparadoxus_C_587666,Other Proteobacteria
83,3901df51425ba2a8d72bb780babe7a48,both,shared,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,Niabellayanshanensis,Other Bacteroidota
84,39183d7b959435dfb732ddeab840b00e,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Genus_Bosea,Other Proteobacteria
85,394eeccf5a2a35b9e7c32243563eef03,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,Family_Burkholderiaceae_A_595422,Family_Burkholderiaceae
86,397062997397ae6d42ed5f445f14e788,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,LD1,UBA7692,UBA7692sp001897535,Other Bacteroidota
87,3a416378a1ecba1f97e92b7154b3b91b,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,Rudaeacellulosilytica,Other Proteobacteria
88,3a75074368d793b1de0d8090a6340a1c,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,Bact-08sp000473305,Other Bacteroidota
89,3aaaf4f10492216973e1efd8f233a8ff,lost,lost,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Genus_Paenibacillus_A,Other Firmicutes
90,3ac58b15912f864168f948c3fed4a03a,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Genus_Corynebacterium,Other Actinobacteriota
91,3b0c59f289139b6c1c6133e175296aac,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Family_Dermatophilaceae,Family_Dermatophilaceae_390796,Other Actinobacteriota
